Country,Year,adult_obesity,teen_obesity,child_obesity,child_stunting,Food_Price_Inflation
Afghanistan,2022,19.2225894928,8.46243000031,3.70000004768,33.0999984741,19.18386316666667
Albania,2022,23.3601894379,7.52263021469,13.3999996185,8.30000019073,11.782812416666667
Algeria,2022,23.81498909,15.2595300674,11.8999996185,8.60000038147,13.429585833333332
Angola,2022,11.4737300873,4.43708992004,3.90000009537,43.5999984741,24.740171416666666
Antigua & Barbuda,2022,33.2509002686,24.4421291351,5.5,12.9500002861,10.55039275
Argentina,2022,35.3552017212,20.2722091675,12.6000003815,9.5,73.04820066666667
Armenia,2022,24.5090408325,9.56005001068,11.5,7.19999980927,12.974977666666668
Australia,2022,30.2439098358,15.7691202164,21.7999992371,3.40000009537,6.4988253333333335
Austria,2022,15.3675403595,10.566570282,5.5,12.9500002861,10.719277833333333
Azerbaijan,2022,26.5488796234,8.60743999481,10.1000003815,13.3000001907,20.087743916666668
The Bahamas,2022,47.2575416565,26.6021595001,5.5,12.9500002861,13.491257083333334
Bahrain,2022,36.1267204285,20.1369094849,5.5,5,10.38098
Bangladesh,2022,5.30312013626,1.90631997585,2.09999990463,26.3999996185,7.735415416666667
Barbados,2022,38.0247993469,22.950460434,12.5,6,15.000727
Belarus,2022,21.3746204376,7.9483499527,5.30000019073,3.59999990463,16.598523166666666
Belgium,2022,20.0253696442,6.52209997177,4,2.40000009537,8.792769916666666
Belize,2022,42.3228683472,21.8022994995,5.90000009537,12,7.793433583333333
Benin,2022,11.1658601761,5.43284988403,2.20000004768,30.3999996185,-0.5114839166666666
Bhutan,2022,12.1773099899,5.88420009613,6.5,22.7000007629,4.1812190000000005
Bolivia,2022,28.6803703308,16.3218803406,9,11.1000003815,2.2388901666666667
Bosnia and Herzegovina,2022,21.1939105988,12.0469102859,9.39999961853,8,21.40092725
Botswana,2022,18.2908802032,6.07618999481,10.1000003815,21.6000003815,9.936127666666668
Brazil,2022,28.1418399811,15.4863395691,10.3000001907,7.19999980927,12.01333225
Brunei,2022,31.7106704712,22.1073093414,9.10000038147,10.8999996185,5.1489975
